"created_at","device_prop_name","property_value"
2022-09-29 17:29:56.603 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-29 18:56:29.819 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-29 18:56:30.327 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 18:56:31.044 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 18:56:31.934 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-29 18:56:33.075 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 18:56:34.038 +0300,RF'Area09'OS34'AHUMRF02'RAT,27
2022-09-29 18:56:53.445 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 20:23:54.185 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-29 20:23:54.770 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 20:23:55.549 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 20:23:56.492 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-29 20:23:57.616 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 20:23:58.533 +0300,RF'Area09'OS34'AHUMRF02'RAT,27
2022-09-29 20:24:17.999 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 21:51:05.710 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-29 21:51:06.290 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 21:51:07.021 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-29 21:51:07.898 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-29 21:51:09.002 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 21:51:09.912 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
2022-09-29 21:51:29.761 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-29 23:18:18.933 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-29 23:18:19.456 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-29 23:18:20.177 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-29 23:18:21.132 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-29 23:18:22.235 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-29 23:18:23.125 +0300,RF'Area09'OS34'AHUMRF02'RAT,28
