"created_at","device_prop_name","property_value","property_obj"
2022-07-13 17:57:11.565 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-20 01:43:42.554 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-11 10:04:44.303 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-06 02:14:59.695 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-19 06:30:16.525 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-28 05:36:52.900 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-05 03:19:12.918 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-12 18:00:02.463 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-15 03:44:44.069 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-14 07:58:19.559 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-16 05:28:53.802 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-26 08:37:19.140 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 11:43:15.577 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-14 13:15:38.465 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-03 18:49:38.343 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-04 06:49:02.768 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-18 17:16:06.703 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-09 00:03:20.294 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-28 01:33:58.593 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-18 14:13:56.400 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-31 00:34:18.996 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-13 02:31:30.219 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-11 17:42:11.331 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-06 05:34:40.587 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-12 20:26:58.674 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-08 23:58:51.839 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-17 12:11:37.626 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 13:12:42.583 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-25 16:45:03.578 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-30 15:38:42.928 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-13 14:44:11.671 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-05 11:39:12.645 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-18 05:35:57.400 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-18 02:33:49.595 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-19 10:57:55.073 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-10 03:34:56.441 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-03 20:16:51.751 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-11 06:21:03.322 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-30 01:59:32.282 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-31 08:08:42.051 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-06 19:38:24.688 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-12 22:53:46.296 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 14:40:03.705 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-11 11:16:37.629 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-17 02:22:26.297 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-01 05:25:19.844 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-18 04:18:43.413 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-12 21:48:22.089 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-06 01:15:27.600 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-31 02:01:04.501 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-23 18:23:37.551 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-25 01:02:44.309 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-23 19:43:44.288 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-06 07:39:01.470 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-14 08:56:31.688 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-18 19:07:27.286 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-05 12:05:38.275 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-19 16:07:22.215 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 01:20:07.329 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-28 03:01:34.436 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-03 10:51:16.496 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-16 23:09:33.341 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-03 21:44:22.274 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-16 03:02:42.179 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-25 22:00:20.354 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-14 08:25:37.559 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-22 07:24:46.203 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
